Aftershock,Roller Coaster,510324,695,1.2
Aqua Loop,Water,157288,542,0.9
Asteroid Belt,Roller Coaster,551218,623,1.4
Attack of the Smartphones,Simulation,548630,663,1.0
Beaver Falls,Water,95970,695,1.2
Bug Blaster,Simulation,293033,542,0.9
Bumblebee Flyer,Kids,104010,715,0.9
Candyfloss Carousel,Kids,95970,663,0.9
Dr. Death's Freefall,Thrill,568325,695,1.4
El Diablo,Roller Coaster,509983,663,1.0
Firehawk,Thrill,432099,695,1.4
G-Force,Roller Coaster,697668,715,1.4
Lightning Rod,Roller Coaster,401087,695,0.9
Mini World,Kids,189900,542,0.9
Mushroom Swing,Kids,128934,542,0.9
Posidon's Quest,Water,198277,542,0.9
Safari Tour,Simulation,146552,695,1.2
Sonic Boom,Roller Coaster,383630,719,1.2
Splash Waterfalls,Water,222309,719,0.9
Steel Vengence,Thrill,453445,663,1.1
Terror Mountain,Thrill,377433,715,1.0
The Unicorn Express,Kids,112003,715,0.9
Thundergun Express,Roller Coaster,712844,695,1.2
T-Rex Rampage,Simulation,648390,715,1.4
Velocity,Thrill,688845,719,1.1
Vortex,Roller Coaster,700107,623,1.1
